City;PLZ;State;;;;
Freiburg im Breisgau;79110;Baden-Württemberg;;;;
Bad Säckingen;79713;Baden-Württemberg;;;;
Feldberg;79868;Baden-Württemberg;;;;
Simonswald;79263;Baden-Württemberg;;;;
Breitnau;79874;Baden-Württemberg;;;;
Lörrach;79540;Baden-Württemberg;;;;
Achberg;88147;Baden-Württemberg;;;;
Deggingen;73326;Baden-Württemberg;;;;
Dörfles-Esbach;96487;Bayern;;;;
Gammelsdorf;85408;Bayern;;;;
Tuntenhausen;83104;Bayern;;;;
Eching;84174;Bayern;;;;
Landshut;84034;Bayern;;;;
Kiefersfelden;83088;Bayern;;;;
Flintsbach a. Inn;83126;Bayern;;;;
Berlin Wilmersdorf;10717;Berlin;;;;
Berlin Schöneberg;10779;Berlin;;;;
Berlin Neukölln;12051;Berlin;;;;
Berlin Weißensee;13088;Berlin;;;;
Berlin Teltowkanal III;12489;Berlin;;;;
Plattenburg;19339;Brandenburg;;;;
Wusterhausen;16868;Brandenburg;;;;
Brück, Borkheide u.a.;14822;Brandenburg;;;;
Königs Wusterhausen;15712;Brandenburg;;;;
Erkner;15537;Brandenburg;;;;
Großräschen;1983;Brandenburg;;;;
Bremerhaven;27574;Bremen;;;;
Bremen;28279;Bremen;;;;
Bremen;28359;Bremen;;;;
Bremen;28277;Bremen;;;;
Bremen;28205;Bremen;;;;
Hamburg;22609;Hamburg;;;;
Hamburg;20354;Hamburg;;;;
Hamburg;22089;Hamburg;;;;
Hamburg;22043;Hamburg;;;;
Hamburg;22119;Hamburg;;;;
Hamburg;22765;Hamburg;;;;
Breidenbach;35236;Hessen;;;;
Solms;35606;Hessen;;;;
Kassel;34127;Hessen;;;;
Kassel, Fuldatal;34233;Hessen;;;;
Dipperz;36160;Hessen;;;;
Hohenroda;36284;Hessen;;;;
Hohenahr;35644;Hessen;;;;
Gladenbach;35075;Hessen;;;;
Insel Poel;23999;Mecklenburg-Vorpommern;;;;
Pinnow;19065;Mecklenburg-Vorpommern;;;;
Rastow;19077;Mecklenburg-Vorpommern;;;;
Zingst a. Darß;18374;Mecklenburg-Vorpommern;;;;
Feldberger Seenlandschaft;17258;Mecklenburg-Vorpommern;;;;
Putbus;18581;Mecklenburg-Vorpommern;;;;
Uckerland, Groß Luckow, Schönhausen;17337;Mecklenburg-Vorpommern;;;;
Saal;18317;Mecklenburg-Vorpommern;;;;
Ochtersum;26489;Niedersachsen;;;;
Essen (Oldenburg);49632;Niedersachsen;;;;
Südbrookmerland;26624;Niedersachsen;;;;
Voltlage;49599;Niedersachsen;;;;
Salzbergen;48499;Niedersachsen;;;;
Westoverledingen;26810;Niedersachsen;;;;
Hannover;30175;Niedersachsen;;;;
Hannover;30625;Niedersachsen;;;;
Hambühren;29313;Niedersachsen;;;;
Köln;51147;Nordrhein-Westfalen;;;;
Essen;45307;Nordrhein-Westfalen;;;;
Wuppertal;42115;Nordrhein-Westfalen;;;;
Bochum;44807;Nordrhein-Westfalen;;;;
Bochum;44799;Nordrhein-Westfalen;;;;
Wettringen;48493;Nordrhein-Westfalen;;;;
Geiselberg;67715;Rheinland-Pfalz;;;;
Freilingen, Freirachdorf u.a.;56244;Rheinland-Pfalz;;;;
Birken-Honigsessen;57587;Rheinland-Pfalz;;;;
Wilgartswiesen;76848;Rheinland-Pfalz;;;;
Malberg, Norken, Höchstenbach u.a.;57629;Rheinland-Pfalz;;;;
Saarbrücken;66126;Saarland;;;;
Gersheim;66453;Saarland;;;;
Lebach;66822;Saarland;;;;
Püttlingen;66346;Saarland;;;;
Saarbrücken;66123;Saarland;;;;
Kleinblittersdorf;66271;Saarland;;;;
Merzig;66663;Saarland;;;;
Frankenberg;9669;Sachsen;;;;
Zschopau;9434;Sachsen;;;;
Pockau-Lengefeld (Pockau);9509;Sachsen;;;;
Dresden;1097;Sachsen;;;;
Dresden;1326;Sachsen;;;;
Leipzig;4207;Sachsen;;;;
Leipzig;4279;Sachsen;;;;
Eilenburg u.a.;4838;Sachsen;;;;
Halle/ Saale;6114;Sachsen-Anhalt;;;;
Klostermansfeld, Benndorf;6308;Sachsen-Anhalt;;;;
Magdeburg;39110;Sachsen-Anhalt;;;;
Barleben;39179;Sachsen-Anhalt;;;;
Querfurt, Obhausen, Mücheln u.a.;6268;Sachsen-Anhalt;;;;
Hettstedt, Endorf;6333;Sachsen-Anhalt;;;;
Alsleben/Saale, Plötzkau;6425;Sachsen-Anhalt;;;;
Großharrie;24625;Schleswig-Holstein;;;;
Kiel;24146;Schleswig-Holstein;;;;
Nehms;23813;Schleswig-Holstein;;;;
Hamfelde, Kasseburg, Köthel, Rausdorf, Schönberg;22929;Schleswig-Holstein;;;;
Lasbek;23847;Schleswig-Holstein;;;;
Lütjenburg;24321;Schleswig-Holstein;;;;
Benshausen;98554;Thüringen;;;;
Gräfenroda;99330;Thüringen;;;;
Arnstadt;99310;Thüringen;;;;
Rockhausen, Klettbach;99102;Thüringen;;;;
Kranichfeld u.a.;99448;Thüringen;;;;
